Geometry,Merge number,Art Year,Major conservation,created date,last edited,Artist full name,List title,Short description,Tour card,Fact sheet URL,Photo quality,Video URL,Google map URL,Latitude,Longitude,photo caption,Photo alt,More Info URL,Related Project URL,Current Interest,Special Interest,Nearest Point of Interest,Zoom,Accession Number,Last name,First name,Series,Title,Featured,Display term,Detailed materials,Category,Object Type,Dimensions,Location,Additional Location Information,Actual address,Interior or Exterior,Location type,Location 2,Permission required,Permission type,Neighborhood,Tags keywords,tags keywords 2,Tour_Card,Conservation status,Temporary or permanent,Photo website,Theme Tags
POINT (-71.07557874057473 42.3693517395672),351,1986,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Beach Fragments,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36935174,-71.07557874",42.36935174,-71.07557874,,,,,,,Lechmere,out,CAC.86.03,Phillips,David,Beach Fragments,,no,,Silicon bronze in brick,Sculpture,Bronze Relief,,Lechmere Canal Park,"Inlaid in brick, under the park pavilion",,Exterior,Park,Park,no,,East Cambridge,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603a_BeachFragments.JPG,goofy
POINT (-71.11116808045665 42.36543405033039),335,1981,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Vusumuzi Maduna,Inner City Totem I,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_History.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.36543405,-71.11116808",42.36543405,-71.11116808,"Photo credit: Craig Bailey, Perspective Photography",,https://www.cambridgema.gov/arts/News/detail.aspx?path=/sitecore/content/home/arts/news/2021/01/maduna,,,,Central,same,CAC.81.03,Maduna,Vusumuzi,,Inner City Totem I,yes,,Steel and Wood,Sculpture,Sculpture,"540"""" (h) x 48"""" (w) x 18"""" (d)",Cambridge Community Center,Front entrance,5 Callender Street,Exterior,Non-city building,Non-city building,no,,Riverside,abstract,abstract; black artist; african art; history,Time Out for History,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Maduna_CAC8101_PerspectivePhoto.JPG,sentimental
POINT (-71.13365113960845 42.3872321101157),250,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Edward Levine,Floating Stones (Block),,,,,,"https://www.google.com/maps/search/?api=1&query=42.38723211,-71.13365114",42.38723211,-71.13365114,,,,,,,Fresh Pond,in,CAC.92.02b,Levine,Edward,Floating Stones,(Block),no,,"Granite blocks with steel inlay, polished-granite inlays (in ground)",Sculpture,Stone,24”(h) x 25”(w) x 25” (each block); 849” x 513” overall,Roethlisberger Park,"St. Peter’s Ball Field (right of right-field),",,Exterior,Park,Park;Playground,no,,Neighborhood Nine,abstract,stone; abstract; landscape,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,love
POINT (-71.08276976550258 42.36651149348532),527,2022,0,12/05/2022 12:00:00 AM,12/05/2022 12:00:00 AM,Elisa Hamilton,Jukebox,,,,,,https://goo.gl/maps/wTGYCrFAYGD2hDMJ7,42.3671,-71.08252,,,https://www.cambridgema.gov/arts/News/2019/01/foundrypublicart,,,,,same,CAC.22.02,Hamilton,Elisa,,Jukebox,no,,,Electronic,,,The Foundry,"First floor, in a nook near the theater",101 Rogers St,Interior,Public Building,Public Building; Community Center,no,,East Cambridge,community,community; stories; people; foundry,,,Permanent,,nostalgia
POINT (-71.0764406200993 42.366740760040926),235,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Ladybird Beetle and Cloverleaf),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36674076,-71.07644062",42.36674076,-71.07644062,,,,,,,Lechmere,in,CAC.92.03.35,Webb,Nancy,Untitled,(Ladybird Beetle and Cloverleaf),no,,Bronze,Sculpture,Bronze,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,insect; beetle; plant; flower; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_35_Webb.jpg,love
POINT (-71.11635367945287 42.3823855700949),1,2002,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Mags Harries & Lajos Heder,Drawn Water (Valve plate),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Play.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.38238557,-71.11635368",42.38238557,-71.11635368,,,,,,,Porter,same,CAC.02.01u,Harries; Heder,Mags; Lajos,Drawn Water,(Valve plate),no,,Bronze,Sculpture,Bronze,"8"""" (dia.)",Maria L. Baldwin Elementary School,Bronze relief in sidewalk outside of building,85 Oxford Street,Exterior,School,School; Public Building; Pathway,no,,Agassiz,water,water; swimming; play; spirit; fun,This Way to Play,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201u_Baldwin.JPG,love
POINT (-71.09866565952021 42.36493793020223),89,1986,0,09/14/2021 12:00:00 AM,03/24/2022 12:00:00 AM,Gene Cauthen,Pole Climbers,,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36493793,-71.09866566",42.36493793,-71.09866566,,,,,,,Central,same,CAC.86.06,Cauthen,Gene,,Pole Climbers,no,,Bronze,Sculpture,Bronze,"106""""(h) x 19""""(dia.)",Clement Morgan Park,Near Columbia St. entrance,60 Columbia Street,Exterior,Park,Park; Playground,no,,The Port,community,history; neighborhood; community,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cauthen_CAC8606_PoleClimbers.jpg,memorial
POINT (-71.0949924503028 42.36613065980613),356,2007,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Ken Speiser,Hearth,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Respite.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.36613066,-71.09499245",42.36613066,-71.09499245,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Kendell,out,CAC.07.04a,Speiser,Ken,Hearth,,no,,"Red clay bricks, steel, aggregate concrete",Sculpture,Brick Sculpture,,Greene-Rose Heritage Park,Between Harvard Street and Dickinson Street near playground,155 Harvard Street,Exterior,Park,Park; Playground,no,,The Port,bench,bench; brick; respite; seat; sit,Relish a Respite,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/speiser_cac0707ad_perspectivephoto.JPG,"love, sentimental"
POINT (-71.09558660022603 42.36703677002447),411,2020,0,09/14/2021 12:00:00 AM,02/20/2022 12:00:00 AM,David Fichter,Fletcher-Maynard Academy Mosaics,,,,,,"https://www.google.com/maps/search/?api=1&query=42.36703677,-71.0955866",42.36703677,-71.0955866,"Photo credit: Craig Bailey, Perspective Photography",,https://www.cambridgema.gov/arts/publicart/whatsnew/davidfichtermosesyouthcentermosaic,https://www.cambridgema.gov/Departments/publicworks/cityprojects/2015/theportinfrasctructureimprovements,,,Central,same,CAC.19.02.1-2,Fichter,David,,Fletcher-Maynard Academy Mosaics,yes,,Glass tile,Mosaic,Mosaic,2.5' (h) X 9' (w),Fletcher Maynard Academy,At front entrance,225 Windsor Street,Exterior,School,School; Public Building,no,,,community,community; children; education; cambridge,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Fichter_CAC_Overall_PerspectivePhoto.JPG,nostalgia
POINT (-71.11532146008479 42.372168740288444),171,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Spiral (Snail),,,,,,"https://www.google.com/maps/search/?api=1&query=42.37216874,-71.11532146",42.37216874,-71.11532146,,,,,,,Harvard,in,CAC.97.02.18,Phillips,David,Spiral,(Snail),no,,Cast bronze,Sculpture,Bronze,5”-6.5”(h) x 3”-5”(w) x 3”-5.5”(d),Quincy Square,"Bronze snails are fence post tops, located at various points on the spiral iron fence that surrounds park and the island traffic median across the intersection",,Exterior,Public Square,Public Square,no,,Mid-Cambridge,insect,snail; nature; insect,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970218_Spiral.jpg,sentimental
POINT (-71.13259765992278 42.399707980062274),116,1980,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Juliet Kepes,Untitled (Owl),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Flight.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.39970798,-71.13259766",42.39970798,-71.13259766,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Davis,in,CAC.80.07a,Kepes,Juliet,Untitled (Birds),(Owl),yes,,Bronze,Sculpture,Bronze relief,13”(h) x 18.5”(w),Clarendon Avenue Playground,Mounted to low stone wall; Intersection at Massachusetts Avenue and Clarendon Avenue,99 Clarendon Avenue,Exterior,Park,Park; Playground,no,,North Cambridge,animal,bird; animal; wings; soar; fly; flight,Take Flight,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_CAC8007a_PerspectivePhoto.JPG,industrial
POINT (-71.07648461996767 42.36689966983832),218,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Clover),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36689967,-71.07648462",42.36689967,-71.07648462,,,,,,,Lechmere,in,CAC.92.03.18,Webb,Nancy,Untitled,(Clover),no,,Bronze,Sculpture,Bronze Relief,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,plant; flower; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_18_Webb.jpg,love
POINT (-71.07560943983518 42.36931991963944),277,1986,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Beach Fragments (f),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36931992,-71.07560944",42.36931992,-71.07560944,,,,,,,Lechmere,in,CAC.86.03f,Phillips,David,Beach Fragments,(Small handprint and stones),no,,Silicon bronze in brick,Sculpture,Bronze Relief,16”(h) x 16”(w),Lechmere Canal Park,"Inlaid in brick, under the park pavilion",,Exterior,Park,Park,no,,East Cambridge,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603f_BeachFragments.JPG,goofy
POINT (-71.12800379023317 42.39234383021543),310,2001,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Lillian Hsu,Sitting Coves,,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.39234383,-71.12800379",42.39234383,-71.12800379,,,,,,,Porter,same,CAC.01.012a-b,Hsu,Lillian,,Sitting Coves,no,,"Wood, acrylic paint and glass block",Sculpture,Bench,"a) 84”(h) x 240”(w) x 36”(d), b) 60”(h) x 92”'(w) x 36”(d)",Gately Youth Center,"a) Ground floor, located in hallways, b) Ground flloor, located under stairwell",70 Rindge Avenue,Interior,Public Building,Public Building,yes,"Call Public Art Administrator, 617-349-4388",North Cambridge,bench,color; seating; bench,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Hsu_CAC0102a_SittingCoves.jpg,memorial
POINT (-71.11648409939656 42.382834630211434),6,1989,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Lilli Ann Rosenberg,Turtles (b),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.38283463,-71.1164841",42.38283463,-71.1164841,,,,,,,Porter,in,CAC.89.04b,Rosenberg,Lilli Ann,Turtles,,no,,"Ceramic tiles (glazed), natural shell, glass, millefiori in concrete forms",Sculpture,Sculpture,4.5”(h) x 33”(L) x 26”(w),Edward Alden Park,Play area; Intersection at Sacramento Street and Oxford Street,,Exterior,Playground,Playground; Park,no,,Agassiz,animal,turtle; animal; ocean; water; sea; sea creature,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_82_04b_Rosenberg.jpg,love
POINT (-71.11037121026312 42.367818540231156),121,2003,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Murray Dewart,The Late Flower Alphabet: Kyrie Gate,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Garden.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36781854,-71.11037121",42.36781854,-71.11037121,,,,,,,Central,in,CAC.03.01c,Dewart,Murray,The Late Flower Alphabet,Kyrie Gate,no,,Granite and Bronze,Sculpture,Granite Archway with Bronze Top,48” (h) x 48”(w) x 10”(d),Franklin Street Park,In a pocket park entrance,495 Franklin Street,Exterior,Park,Park,no,,Riverside,abstract,garden; plant; grow; nurture; abstract; symbol; entryway,Plant Yourself in a Garden,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_c_KyrieGate.JPG,industrial
POINT (-71.13367639017088 42.38718680014471),248,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Edward Levine,Floating Stones (Block),,,,,,"https://www.google.com/maps/search/?api=1&query=42.3871868,-71.13367639",42.3871868,-71.13367639,,,,,,,Fresh Pond,in,CAC.92.02d,Levine,Edward,Floating Stones,(Block),no,,"Granite blocks with steel inlay, polished-granite inlays (in ground)",Sculpture,Stone,24”(h) x 25”(w) x 25” (each block); 849” x 513” overall,Roethlisberger Park,"St. Peter’s Ball Field (right of right-field),",,Exterior,Park,Park;Playground,no,,Neighborhood Nine,abstract,stone; abstract; landscape,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,sentimental
POINT (-71.11637995042403 42.382344929802294),383,1996,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy O'Neil,Untitled (Pangea globe and Moroccan tile patterns),,,,,,"https://www.google.com/maps/search/?api=1&query=42.38234493,-71.11637995",42.38234493,-71.11637995,,,,,,,Porter,same,CAC.96.01f,O'Neil,Nancy,Untitled,(Pangea globe and Moroccan tile patterns),no,,Hand-painted stained glass,Stained Glass,Stained glass,28”(h) x 22”(w),Maria L. Baldwin Elementary School,"Stairwell, levels 2-3 (right)",85 Oxford Street,Interior,School,School; Public Building,yes,"Call Public Art Administrator, 617-349-4388",Agassiz,light,"glass, color, light",,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01f_ONeil.JPG,industrial
POINT (-71.12782084996931 42.39055228032591),270,1983,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Judelson,Brickworker and Ballplayer (Brickworker),,,,,,"https://www.google.com/maps/search/?api=1&query=42.39055228,-71.12782085",42.39055228,-71.12782085,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Porter,in,CAC.83.01a,Judelson,David,Brickworker and Ballplayer,Brickworker,no,,Handmade brick and masonry,Sculpture,Sculpture,60”(h) x 63”(w) x 54.75”(d),Rindge Field,Intersection at Pemberton Street and Haskell Street,,Exterior,Pathway,Park; Pathway,no,,North Cambridge,community,brick; labor; baseball; community,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Judelson_CAC8301a_PerspectivePhoto.JPG,goofy
POINT (-71.07661487969804 42.36610537961966),203,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Praying Mantis),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36610538,-71.07661488",42.36610538,-71.07661488,,,,,,,Lechmere,in,CAC.92.03.4b,Webb,Nancy,Untitled,(Praying Mantis),no,,Bronze,Sculpture,Bronze Relief,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,insect; mantis; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_4b_Webb.jpg,nostalgia
POINT (-71.10860868033032 42.36293384988134),11,2002,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Mags Harries & Lajos Heder,Drawn Water (Valve plate),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Play.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36293385,-71.10860868",42.36293385,-71.10860868,,,,,,,Central,same,CAC.02.01t,Harries; Heder,Mags; Lajos,Drawn Water,(Valve plate),no,,Bronze,Sculpture,Bronze,"8"""" (dia.)",The Amigos School,Bronze relief in sidewalk outside of building,15 Upton Street,Exterior,School,School; Public Building; Pathway,no,,Cambridgeport,water,water; swimming; diving; scuba; play; spirit; fun,This Way to Play,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201t_Amigos.JPG,memorial
