List title,Artist full name,Latitude,Longitude,Tags keywords,tags keywords 2,Photo website,Neighborhood,Location,normalized tag
A Public Display of Intervention (c),Adam Simha,42.36343842,-71.09825719,bench,bench; abstract; respite; seat; sit,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_15_01c_Simha.jpg,The Port,Charles O. Dance Jr. Square,bench
Stroll in the Rain,Dominic Michael Killiany,42.38657,-71.13674,landscape,painting; digifuse; color; shape,,Neighborhood Nine,"Danehy Park, Louis A. DePasquale Universal Design Playground",landscape
Gateway,Mags Harries,42.36956585,-71.08664012,play,play; education,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Harries_CAC_83_06_Gateway.jpg,East Cambridge,Kennedy-Longfellow School,play
Untitled (Upright black dog),Jay Coogan,42.37145624,-71.09216579,animal,cats; dogs; animal; critter; creature,,Wellington-Harrington,Donnelly Field,animal
Play is Child's Work,Judith,42.36652574,-71.09577486,play,people; take flight; trees; children; kids; play,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Inglese_CAC8304_PlayIs_PerspectivePhoto.jpg,The Port,Fletcher-Maynard Academy,play
Hopscotch,Tory Fair,42.36623526,-71.09500128,play,play; respite; seat; sit; sports,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Fair_CAC0703_Hopscotch.JPG,The Port,Greene-Rose Heritage Park,play
They Settled Near a Marsh,Lisa Houck,42.36673931,-71.10622162,nature,Trees; nature; abstract; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Houck_CAC9503_WeSettledNearMarsh.jpg,Riverside,Cityside Senior Center,nature
Beacon of Color (j),Nancy Simonds,42.36879356,-71.07747054,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01j_Simonds.JPG,East Cambridge,First Street Garage,abstract
Spiral (Bench),David Phillips,42.37219553,-71.11533262,bench,bench,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970202_Spiral.JPG,Mid-Cambridge,Quincy Square,bench
Untitled (Cabbage Butterfly),Nancy Webb,42.36609973,-71.07664637,nature,insect; butterfly; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_2_Webb.jpg,East Cambridge,Charles Park,nature
Spiral (Snail),David Phillips,42.37214804,-71.11514224,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970211_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Spiral (Snail),David Phillips,42.37211799,-71.11531906,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970206_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Untitled (Prionus beetle and pachysandra leaf),Nancy Webb,42.36644503,-71.07638123,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_38_Webb.jpg,East Cambridge,Charles Park,nature
Sidewalk Histories: Tom & Joe,Mike Mandel,42.36088376,-71.10439298,history,history; neighborhood; children; kids; family; community,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_10_01_7_Mandel.jpg,Cambridgeport,Brookline Street (119-222 ),history
Taking Note: Food Cycle,Mel Zeigler,42.37433328,-71.11155788,education,drawing; metal; education,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Ziegler_CAC1302d_FoodCycle.JPG,Mid-Cambridge,Cambridge Rindge and Latin School,education
Park Bench Group,Gene Cauthen,42.3643999,-71.09806772,community,community; neighborhood,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cauthen_BenchGroup.jpg,The Port,Pine Street “Tot Lot”,community
Dana Park Quotes,John Powell,42.36142282,-71.10779741,history,political; text; writing; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Powell_CAC07051_Orne.JPG,Cambridgeport,Dana Park,history
Untitled (Ground pavers and columns),William Reimann,42.3676497,-71.11526786,animal,fish; water; swim; bird; nature; animal; critter; creature; plant,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_b_Reimann.JPG,Riverside,Corporal Burns Park,animal
Beach Fragments (a),David Phillips,42.36935174,-71.07557874,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603a_BeachFragments.JPG,East Cambridge,Lechmere Canal Park,nature
Taylor Square,Paul Ramirez Jonas,42.38399408,-71.12951724,community,community; access; key; park; treasure; public; tiny; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Jonas_CAC0503_TaylorSquare.JPG,Neighborhood Nine,Taylor Park,community
Levitated Stone (Small frog water fountain),David Phillips,42.36113136,-71.10764373,animal,frog; animal; fountain; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_13.JPG,Cambridgeport,Dana Park,animal
Drawn Water (Iron pipe),Mags Harries & Lajos Heder,42.38350692,-71.14404463,water,water; city; pipe; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_02_01c_HarriesMags_HeiderLajos_DrawnWater.jpg,West Cambridge,Walter Sullivan Water Facility,water
Spiral (Snail),David Phillips,42.37222783,-71.11514671,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970213_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
"Dr. Martin Luther King, Jr. Memorial",Vusumuzi Maduna,42.36672098,-71.11312542,history,martin luther king; black artist; memorial; political; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_71_01_maduna_mlkmemorial.JPG,Riverside,"Martin Luther King, Jr. School/Putnam Avenue Upper School",history
Untitled (Column with red tail hawk),William Reimann,42.36768017,-71.11606562,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_b_Reimann.JPG,Riverside,Corporal Burns Park,animal
Untitled (Buildings),Lilli Ann Rosenberg,42.3720903,-71.08729479,community,neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905n_House_Rosenberg_MillersRiver_2019.JPG,East Cambridge,Millers River Apartments,community
Floating Stones (Block),Edward Levine,42.38723669,-71.13365956,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Untitled (Japanese Beetle and Viburnum Leaf),Nancy Webb,42.36659044,-71.07647594,nature,insect; beetle; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_32_Webb.jpg,East Cambridge,Charles Park,nature
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.39264889,-71.127929,water,water; cloud; rain; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201i_Peabody.jpg,North Cambridge,Andrew Peabody Elementary School,water
Untitled (Plants and Insects),Nancy Webb,42.36646487,-71.07650372,nature,insect; butterfly; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_7_Webb.jpg,East Cambridge,Charles Park,nature
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.36938004,-71.09757722,water,water; ice; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201j_Cambridgeport.jpg,The Port,Cambridgeport Elementary School,water
Untitled (Fritillary Butterfly),Nancy Webb,42.3660998,-71.07659442,nature,insect; butterfly; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_5_Webb.jpg,East Cambridge,Charles Park,nature
Untitled (Bee),Nancy Webb,42.36689645,-71.07646419,nature,insect; bee; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_19_Webb.jpg,East Cambridge,Charles Park,nature
Porter Square Landscape Design (Portrait wall),Toshihiro Katayama,42.38890768,-71.11926035,land design,abstract; land design; color; line; shape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg,North Cambridge,Porter Square Shopping Center,land design
Turnaround/Surround,Mierle Ukeles,42.38891604,-71.13540892,land design,gathering; land design; bench; abstract; play; plant; nature; garden; recycle; biking; bike path,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_10_1_Ukeles.jpg,Neighborhood Nine,Danehy Park,land design
Children's Collaborative Mural,Jack Gregory & Joan Wye,42.36652345,-71.09577371,children,children; play; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_84_03a_gregorywye.jpg,The Port,Fletcher-Maynard Academy,children
Untitled (Buildings and train),Lilli Ann Rosenberg,42.37207428,-71.08730125,community,neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905q_BuildingsandTrain_Rosenberg_MillersRiver.JPG,East Cambridge,Millers River Apartments,community
Taking Note: Path,Mel Zeigler,42.37433328,-71.11155788,school,drawing; metal; school,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Ziegler_CAC1302b_Path.JPG,Mid-Cambridge,Cambridge Rindge and Latin School,school
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.3697126,-71.08669357,water,water; swimming; frog; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201m_KennedyLongfellow.jpg,East Cambridge,Kennedy-Longfellow Community School,water
Workers,Gene Cauthen,42.3688016,-71.10010299,community,history; neighborhood; community; labor,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cauthen_Workers.jpg,The Port,Sennott Park,community
Levitated Stone (Small frog water fountain),David Phillips,42.36113714,-71.10764936,animal,frog; animal; fountain; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_13.JPG,Cambridgeport,Dana Park,animal
The Bluefish is Good Tonight,Lisa Houck,42.37402961,-71.10102151,nature,water; fish; nature; abstract; ocean; water; sea; sea creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_87_07_Houck.JPG,Wellington-Harrington,Cambridge Health Alliance (Inman Square),nature
Spiral (Snail),David Phillips,42.3723166,-71.11556773,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970220_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.37086626,-71.10459978,water,water; swimming; fish; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201n_FayetteSt.JPG,Mid-Cambridge,King Open School,water
Untitled (Diving Bird),Juliet Kepes,42.39971457,-71.13261113,animal,bird; animal; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_CAC8007b_PerspectivePhoto.JPG,North Cambridge,Clarendon Avenue Playground,animal
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.36832183,-71.10067237,Abstract,Abstract; garden; surf; shape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_01.jpg,,Moses Youth Center,abstract
Spiral (Snail),David Phillips,42.37215484,-71.11536112,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970217_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Untitled (Column with black capped chickadee),William Reimann,42.36763122,-71.11492281,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_h_Reimann.jpg,Riverside,Corporal Burns Park,animal
First African Safari,Dominic Michael Killiany,42.38655,-71.136761,animals,painting; digifuse; color; shape; animal,,Neighborhood Nine,"Danehy Park, Louis A. DePasquale Universal Design Playground",animal
Centanni Way Garden Sculpture (Lily),Dimitri Gerakaris,42.37028589,-71.07954502,nature,metal; flower; plant; nature; garden; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Gerakaris_CAC8901_CentanniWayGardenSculpture.JPG,East Cambridge,Centanni Way Park/Bullfinch Sq,nature
Thunderhead,Vivian Beer,42.35792033,-71.10783673,bench,steel; bench; cloud; play; spirit; fun; fantasy,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_12_01_Beer.JPG,Cambridgeport,David Nunes Park,bench
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.38414329,-71.13978762,water,water; frog; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201s_Tobin.JPG,West Cambridge,John M.Tobin Montessori Elementary School,water
Turnaround/Surround (Glassphalt Path),Mierle Ukeles,42.38891604,-71.13540892,land design,recycle; land design; biking; bike path,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_10_4_Ukeles.JPG,Neighborhood Nine,Danehy Park,land design
The Late Flower Alphabet: The Eye of Buddha,Murray Dewart,42.3677378,-71.11054544,abstract,abstract; symbol; garden; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_d_TheEyeofBuddha.jpg,Riverside,Franklin Street Park,abstract
Dana Park Quotes (Binstock),John Powell,42.3615904,-71.1078143,history,political; text; writing; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Powell_CAC07054_Binstock.JPG,Cambridgeport,Dana Park,history
Untitled (Night heron and animal tracks),Nancy O'Neil,42.38234493,-71.11637995,light,"glass, color, light",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01e_ONeil.JPG,Agassiz,Maria L. Baldwin Elementary School,light
Untitled (Campion and Fly),Nancy Webb,42.36688031,-71.07618249,nature,insect; fly; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_36_Webb.jpg,East Cambridge,Charles Park,nature
Floating Stones (Block),Edward Levine,42.38719406,-71.1336415,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Untitled (Cricket),Nancy Webb,42.36610112,-71.07662235,nature,insect; cricket; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_9a_Webb.jpg,East Cambridge,Charles Park,nature
Inner City Totem II,Vusumuzi Maduna,42.36454464,-71.09737266,abstract,abstract; black artist; african art; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Maduna_8205_PerspectivePhoto.JPG,The Port,Margaret Fuller Neighborhood House,abstract
Untitled (Celestial map and Rose of Sharon),Nancy O'Neil,42.38234493,-71.11637995,light,"glass, color, light",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01a_ONeil.JPG,Agassiz,Maria L. Baldwin Elementary School,light
Levitated Stone,David Phillips,42.36117321,-71.10766133,nature,nature; dragonfly; insect; frog; animal; fountain; water; tree; branch; stone; outdoors; land; flora; fauna,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_06.JPG,Cambridgeport,Dana Park,nature
Hearth (Chairs),Ken Speiser,42.36612103,-71.09496842,bench,bench; brick; respite; seat; sit,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/speiser_cac0707ad_perspectivephoto.JPG,The Port,Greene-Rose Heritage Park,bench
Untitled (Lady's Mantle),Nancy Webb,42.36676604,-71.07643475,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_15_Webb.jpg,East Cambridge,Charles Park,nature
Turnaround/Surround (Art Blocks),Mierle Ukeles,42.38898492,-71.13544865,land design,gathering; land design; bench; biking; bike path,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_10_1_Ukeles.jpg,Neighborhood Nine,Danehy Park,land design
A Public Display of Intervention (b),Adam Simha,42.36340287,-71.09814032,bench,bench; abstract; respite; seat; sit,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_15_01b_Simha.jpg,The Port,Charles O. Dance Jr. Square,bench
Untitled (Morse School Mural),Tomie Arai,42.35613263,-71.11274416,children,nature; people; city; kids; children,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Arai_CAC9901.jpg,Cambridgeport,Morse School,children
Light Shadow: MLK,Christopher Janney,42.36672043,-71.11312618,play,interactive; sound; light; play,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/JanneyMLK2.jpg,Riverside,"Martin Luther King, Jr. School/Putnam Avenue Upper School",play
Sensory Hilltop,Mitch Ryerson,42.38651,-71.13646,nature,nature; bench; land; fun; hill,,Neighborhood Nine,"Danehy Park, Louis A. DePasquale Universal Design Playground",nature
Gore Field (d),Robert Schelling,42.37291024,-71.08278482,abstract,abstract; sports; basketball; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606d_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Beacon of Color (a),Nancy Simonds,42.36869862,-71.07775605,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01a_Simonds.jpg,East Cambridge,First Street Garage,abstract
Engine Company No. 5,Ellary Eddy,42.37359134,-71.10089955,community,history; neighborhood; community; labor; city; civic; firefighter,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Eddy_CAC7601_EngineCompanyNo5.jpg,Mid-Cambridge,Inman Square Firehouse,community
Untitled (Ground paver with carp),William Reimann,42.3676636,-71.11575089,animal,fish; water; swim; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_f_Reimann.jpg,Riverside,Corporal Burns Park,animal
Beach Fragments (b),David Phillips,42.3693889,-71.07559846,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603b_BeachFragments.JPG,East Cambridge,Lechmere Canal Park,nature
Beacon of Color (i),Nancy Simonds,42.36871809,-71.07751555,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01i_Simonds.JPG,East Cambridge,First Street Garage,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.36837039,-71.10080916,Abstract,abstract; shape; surf; garden,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_05.jpg,,Moses Youth Center,abstract
Spiral (Wrought iron fence),David Phillips,42.37218579,-71.11538905,nature,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970225_Spiral.jpg,Mid-Cambridge,Quincy Square,nature
Spiral (Snail),David Phillips,42.37214933,-71.11530008,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970205_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Levitated Stone (Large frog),David Phillips,42.36119536,-71.10774686,animal,frog; animal; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_09.JPG,Cambridgeport,Dana Park,animal
Sidewalk Histories: Cambridgeport Community Gardens,Mike Mandel,42.36007693,-71.10508306,community,history; neighborhood; community,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_10_01_1_Mandel.jpg,Cambridgeport,Brookline Street (119-222 ),community
Taking Note: Circle in Motion,Mel Zeigler,42.37433328,-71.11155788,education,drawing; metal; education,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Ziegler_CAC1302h_CircleinMotion.JPG,Mid-Cambridge,Cambridge Rindge and Latin School,education
Front Desk,Mitch Ryerson,42.38331747,-71.13269081,library,functional; library; desk,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Ryerson_CAC8803_Desk.jpg,Neighborhood Nine,Cambridge Public Library-Boudreau Branch,library
Untitled (Coral Bells),Nancy Webb,42.36622492,-71.07655843,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_11_Webb.jpg,East Cambridge,Charles Park,nature
"Untitled (Norris Street, east and west columns)",William Reimann,42.39532862,-71.12997683,insect,butterfly; insect; entryway; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_01_04f_Reimann.JPG,North Cambridge,Reverend Thomas J. Williams Park,insect
Floating Stones (Ground inlay),Edward Levine,42.38719835,-71.13365926,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Floating Stones (Block),Edward Levine,42.38726921,-71.13355919,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Turtles (a),Lilli Ann Rosenberg,42.38283534,-71.11647515,animal,turtle; animal; ocean; water; sea; sea creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_82_04c_Rosenberg.jpg,Agassiz,Edward Alden Park,animal
Untitled (Maria Baldwin portrait and elm tree leaves),Nancy O'Neil,42.38234493,-71.11637995,light,"glass, color, light",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01c_ONeil.JPG,Agassiz,Maria L. Baldwin Elementary School,light
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.37807052,-71.15217327,water,water; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201k_Haggerty.JPG,Strawberry Hill,Haggerty Elementary School,water
Untitled (Column with least tern),William Reimann,42.36765801,-71.11491814,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_k_Reimann.JPG,Riverside,Corporal Burns Park,animal
The Late Flower Alphabet,Murray Dewart,42.36771962,-71.11045386,abstract,abstract; symbol; garden; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_c_KyrieGate.JPG,Riverside,Franklin Street Park,abstract
Untitled (c),David Judelson,42.36384818,-71.1036278,abstract,floor; library; abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_79_09c_Judelson.JPG,Cambridgeport,Central Square Branch Library,abstract
Stone Work,David Phillips,42.36229334,-71.11525714,nature,dragonfly; insect; stone; nature; outdoors; land; flora; fauna,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8008a__StoneWork.JPG,Riverside,Riverside Press Park,nature
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.37239169,-71.09115461,nature,water; nature; tree; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201L_KingOpen.jpg,Wellington-Harrington,King Open School,nature
Untitled (Bollard with arms folded),Robin Shores,42.37071164,-71.10427452,children,body language; children,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Shores_CAC8112b.JPG,Mid-Cambridge,"King Open School (until 2020), the Ola Portuguese Dual Language Immersion Program",children
The Reflecting Pool,Randal Thurston,42.37130705,-71.09080924,nature,nature; water,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Thurston_CACGoldStarPool_PerspectivePhoto.JPG,,Gold Star Mothers Pool,nature
Untitled (Running black cat),Jay Coogan,42.37140363,-71.09199589,animal,cats; dogs; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Coogan_CAC_05_02cb_Untitled.JPG,Wellington-Harrington,Donnelly Field,animal
Water Wall,Nancy Selvage,42.3974418,-71.13001788,abstract,abstract; metal; landscape; biking; bike path; light,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_07_01_Selvage.JPG,North Cambridge,Trolley Square,abstract
Aquarium,Dominic Michael Killiany,42.38689,-71.137052,animals,painting; digifuse; color; shape; animal,,Neighborhood Nine,"Danehy Park, Louis A. DePasquale Universal Design Playground",animal
Untitled (Girl),Lilli Ann Rosenberg,42.37809388,-71.15233129,children,animal; color; play; kids; children; community,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Rosenberg_CAC9506b_Girl_PerspectivePhoto.JPG,Strawberry Hill,Haggerty School,children
Untitled (Yellow jacket and chicory),Nancy Webb,42.36686084,-71.07605107,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_37_Webb.jpg,East Cambridge,Charles Park,nature
Untitled (Column with Baltimore oriole),William Reimann,42.36742876,-71.11485356,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_q_Reimann.JPG,Riverside,Corporal Burns Park,animal
Untitled (Small square group of animals),Lilli Ann Rosenberg,42.37211815,-71.08728279,community,neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905j_SmallSquareGroupofAnimals_Rosenberg_MillersRiver_2019.JPG,East Cambridge,Millers River Apartments,community
